49,43,None
38,38,7
64,44,None
12,41,None
37,81,9
50,93,9
23,80,7
90,53,9
59,63,10
91,15,None
31,92,6
39,98,None
3,89,None
25,62,7
26,91,6
24,19,None
32,26,9
61,89,None
19,9,None
42,10,9
77,56,None
1,12,None
84,61,None
100,12,10
22,74,None
3,9,None
98,72,7
51,63,None
89,33,6
82,40,10
43,23,None
20,19,7
11,79,9
65,63,None
42,69,7
41,21,None
39,25,8
6,77,8
39,59,None
56,100,6
40,21,None
7,57,None
49,20,None
92,71,6
11,39,8
81,2,9
60,54,7
81,98,7
26,30,None
47,78,None
33,1,10
36,75,None
83,44,None
18,87,7
74,76,None
30,40,None
79,13,9
8,92,6
16,88,9
26,5,10
34,45,None
75,57,7
38,64,7
4,2,None
59,3,None
35,32,9
26,1,None
74,31,None
13,75,10
18,42,9
32,1,9
41,29,None
60,100,7
14,64,10
21,9,None
14,47,6
10,90,8
48,1,8
81,11,10
53,93,None
67,12,6
54,54,8
93,59,10
9,6,None
12,5,10
86,86,9
53,82,None
95,4,8
2,59,10
19,73,None
45,14,6
89,5,7
75,58,None
19,49,10
54,97,None
40,20,10
16,4,8
51,3,None
76,24,None
